date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-07-28T00:00:00.000Z,195.83,196.626,194.14,194.67,48291443,193.688801848,194.4760984127,192.017280247,192.5414852461,48291443,0.0,1.0
2023-07-31T00:00:00.000Z,196.45,196.49,195.26,196.06,38824113,194.3020227904,194.3415854318,193.1250342074,193.9162870363,38824113,0.0,1.0
2023-08-01T00:00:00.000Z,195.605,196.73,195.28,196.235,35281426,193.4662619899,194.5789612805,193.1448155281,194.0893735926,35281426,0.0,1.0
2023-08-02T00:00:00.000Z,192.58,195.18,191.8507,195.04,50389327,190.4743372307,193.0459089245,189.7530113706,192.9074396795,50389327,0.0,1.0
2023-08-03T00:00:00.000Z,191.17,192.37,190.69,191.57,62243282,189.0797541198,190.2666333631,188.6050024225,189.4753805342,62243282,0.0,1.0
2023-08-04T00:00:00.000Z,181.99,187.38,181.92,185.52,115956841,180.0001279085,185.331193843,179.930893286,183.4915310159,115956841,0.0,1.0
2023-08-07T00:00:00.000Z,178.85,183.13,177.35,182.13,97576069,176.8944605551,181.1276631896,175.410861501,180.1385971535,97576069,0.0,1.0
2023-08-08T00:00:00.000Z,179.8,180.27,177.58,179.69,67823003,177.8340732894,178.2989343264,175.6383466893,177.7252760255,67823003,0.0,1.0
2023-08-09T00:00:00.000Z,178.19,180.93,177.01,180.87,60378492,176.2416769713,178.9517179102,175.0745790487,178.8923739481,60378492,0.0,1.0
2023-08-10T00:00:00.000Z,177.97,180.75,177.6,179.48,54686851,176.0240824434,178.7736860237,175.65812801,177.5175721579,54686851,0.0,1.0
2023-08-11T00:00:00.000Z,177.79,178.62,176.55,177.32,52036672,176.0834264056,176.9054593878,174.8553289381,175.6179378493,52036672,0.24,1.0
2023-08-14T00:00:00.000Z,179.46,179.69,177.305,177.97,43675627,177.7373963819,177.9651886541,175.6030818316,176.2616986186,43675627,0.0,1.0
2023-08-15T00:00:00.000Z,177.45,179.48,177.05,178.88,43622593,175.7466900032,177.7572044056,175.3505295298,177.1629636955,43622593,0.0,1.0
2023-08-16T00:00:00.000Z,176.57,178.54,176.5,177.13,46964857,174.8751369617,176.8262272931,174.8058088789,175.4297616245,46964857,0.0,1.0
2023-08-17T00:00:00.000Z,174.0,177.5054,173.48,177.14,66062882,172.3298059203,175.8015582287,171.8147973049,175.4396656363,66062882,0.0,1.0
2023-08-18T00:00:00.000Z,174.49,175.1,171.96,172.3,61172150,172.8151025002,173.4192472221,170.309387506,170.6461239084,61172150,0.0,1.0
2023-08-21T00:00:00.000Z,175.84,176.13,173.735,175.07,46311879,174.1521440978,174.439360441,172.0673496067,173.3895351866,46311879,0.0,1.0
2023-08-22T00:00:00.000Z,177.23,177.68,176.25,177.06,42084245,175.5288017428,175.9744822754,174.558208583,175.3604335416,42084245,0.0,1.0
2023-08-23T00:00:00.000Z,181.12,181.55,178.325,178.52,52722752,179.3814623464,179.8073348553,176.6132910387,176.8064192695,52722752,0.0,1.0
2023-08-24T00:00:00.000Z,176.38,181.104,176.01,180.674,54945798,174.6869607369,179.3656159275,174.320512299,178.9397434186,54945798,0.0,1.0
2023-08-25T00:00:00.000Z,178.61,179.15,175.82,177.38,51449594,176.895555376,177.430372015,174.1323360742,175.6773619203,51449594,0.0,1.0
2023-08-28T00:00:00.000Z,180.19,180.59,178.545,180.09,43820697,178.4603892458,178.8565497192,176.8311792991,178.3613491275,43820697,0.0,1.0
2023-08-29T00:00:00.000Z,184.12,184.9,179.5,179.695,53003948,182.3526658968,183.1251788199,177.7770124293,177.97014066,53003948,0.0,1.0
2023-08-30T00:00:00.000Z,187.65,187.85,184.74,184.94,60813888,185.8487820744,186.0468623111,182.9667146305,183.1647948672,60813888,0.0,1.0
2023-08-31T00:00:00.000Z,187.87,189.12,187.48,187.84,60794467,186.0666703347,187.304671814,185.6804138732,186.0369582992,60794467,0.0,1.0
2023-09-01T00:00:00.000Z,189.46,189.92,188.28,189.485,45766503,187.6414082164,188.0969927608,186.4727348199,187.666168246,45766503,0.0,1.0
2023-09-05T00:00:00.000Z,189.7,189.98,187.61,188.28,45280027,187.8791045004,188.1564168318,185.809166027,186.4727348199,45280027,0.0,1.0
2023-09-06T00:00:00.000Z,182.91,188.85,181.47,188.4,81755816,181.1542804648,187.0372634945,179.7281027606,186.591582962,81755816,0.0,1.0
2023-09-07T00:00:00.000Z,177.56,178.21,173.54,175.18,112488803,175.8556341334,176.4993949026,171.8742213759,173.4984793167,112488803,0.0,1.0
2023-09-08T00:00:00.000Z,178.18,180.239,177.79,178.35,65602066,176.4696828671,178.5089189038,176.0834264056,176.6380510683,65602066,0.0,1.0
2023-09-11T00:00:00.000Z,179.36,180.3,177.34,180.07,58953052,177.6383562636,178.569333376,175.637745873,178.3415411038,58953052,0.0,1.0
2023-09-12T00:00:00.000Z,176.3,180.13,174.82,179.49,90370192,174.6077286422,178.4009651748,173.1419348907,177.7671084174,90370192,0.0,1.0
2023-09-13T00:00:00.000Z,174.21,177.3,173.98,176.51,84267928,172.5377901688,175.5981298257,172.3099978966,174.8157128907,84267928,0.0,1.0
2023-09-14T00:00:00.000Z,175.74,176.1,173.58,174.0,60895757,174.0531039795,174.4096484055,171.9138374232,172.3298059203,60895757,0.0,1.0
2023-09-15T00:00:00.000Z,175.01,176.495,173.82,176.48,109259461,173.3301111156,174.800856873,172.1515337073,174.7860008552,109259461,0.0,1.0
2023-09-18T00:00:00.000Z,177.97,179.38,176.17,176.48,67257573,176.2616986186,177.6581642872,174.4789764884,174.7860008552,67257573,0.0,1.0
2023-09-19T00:00:00.000Z,179.07,179.63,177.13,177.52,51826941,177.3511399204,177.9057645831,175.4297616245,175.816018086,51826941,0.0,1.0
